Instance - Route - Cost 
1   [1, 7, 2, 5, 3, 6, 9, 10, 8, 4]   178.0
2   [1, 9, 3, 5, 7, 8, 6, 2, 4, 10]   245.0
3   [1, 10, 2, 6, 9, 8, 5, 3, 4, 7]   128.0
4   [1, 10, 9, 8, 7, 4, 6, 3, 5, 2]   136.0
5   [1, 2, 10, 9, 6, 7, 4, 5, 3, 8]   244.0
6   [1, 4, 7, 9, 8, 5, 3, 10, 6, 2]   160.0
7   [1, 4, 9, 6, 8, 10, 2, 7, 5, 3]   214.0
8   [1, 4, 2, 8, 7, 5, 10, 9, 3, 6]   71.0
9   [1, 3, 6, 10, 2, 9, 5, 7, 4, 8]   214.0
10   [1, 5, 8, 9, 4, 2, 7, 10, 3, 6]   91.0
