Instance - Route - Cost 
1   [1, 7, 3, 5, 6, 9, 10, 8, 2, 4]   266
1   [1, 7, 5, 3, 6, 9, 10, 8, 2, 4]   234 (2-opt)
2   [1, 5, 7, 2, 4, 3, 10, 6, 9, 8]   314
2   [1, 5, 7, 2, 4, 3, 10, 6, 9, 8]   314 (2-opt)
3   [1, 10, 9, 8, 5, 4, 3, 2, 6, 7]   147
3   [1, 10, 9, 8, 5, 3, 4, 2, 6, 7]   140 (2-opt)
4   [1, 10, 7, 2, 6, 4, 3, 5, 8, 9]   215
4   [1, 10, 7, 2, 6, 4, 3, 5, 8, 9]   215 (2-opt)
5   [1, 2, 10, 6, 5, 3, 8, 9, 7, 4]   266
5   [1, 2, 10, 6, 5, 3, 8, 9, 7, 4]   266 (2-opt)
6   [1, 5, 9, 3, 8, 10, 4, 7, 6, 2]   244
6   [1, 5, 9, 3, 10, 8, 4, 7, 6, 2]   242 (2-opt)
7   [1, 3, 8, 10, 7, 5, 2, 4, 9, 6]   238
7   [1, 3, 8, 10, 7, 5, 2, 4, 9, 6]   238 (2-opt)
8   [1, 4, 2, 9, 3, 10, 5, 8, 7, 6]   135
8   [1, 4, 2, 9, 3, 10, 5, 8, 7, 6]   135 (2-opt)
9   [1, 3, 4, 10, 6, 5, 7, 2, 9, 8]   330
9   [1, 3, 4, 6, 10, 2, 7, 5, 9, 8]   292 (2-opt)
10   [1, 5, 4, 3, 10, 2, 8, 9, 7, 6]   162
10   [1, 5, 10, 3, 4, 2, 8, 9, 7, 6]   151 (2-opt)
